survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,alive,alone,age_z,fare_z
0,3,male,22.0,1,0,7.25,S,Third,man,True,no,False,-0.5636740664747023,-0.5002397510893574
1,1,female,38.0,1,0,71.2833,C,First,woman,False,yes,False,0.6692169576775449,0.788946607905507
1,3,female,26.0,0,0,7.925,S,Third,woman,False,yes,True,-0.2554513104366405,-0.48664993466069395
1,1,female,35.0,1,0,53.1,S,First,woman,False,yes,False,0.4380498906489985,0.4228611129909654
0,3,male,35.0,0,0,8.05,S,Third,man,True,no,True,0.4380498906489985,-0.4841333019887193
0,3,male,28.0,0,0,8.4583,Q,Third,man,True,no,True,-0.10133993241760961,-0.47591297302898106
0,1,male,54.0,0,0,51.8625,S,First,man,True,no,True,1.902107981829792,0.39794644953841574
0,3,male,2.0,3,1,21.075,S,Third,child,False,no,False,-2.104787846665011,-0.22190017756895475
1,3,female,27.0,0,2,11.1333,S,Third,woman,False,yes,False,-0.17839562142712506,-0.4220570338487224
1,2,female,14.0,1,0,30.0708,C,Second,child,False,yes,False,-1.1801195785508258,-0.040787184044554156
1,3,female,4.0,1,1,16.7,S,Third,child,False,yes,False,-1.9506764686459803,-0.3099823210880695
1,1,female,58.0,0,0,26.55,S,First,woman,False,yes,True,2.210330737867854,-0.11167166653646252
0,3,male,20.0,0,0,8.05,S,Third,man,True,no,True,-0.7177854444937332,-0.4841333019887193
0,3,male,39.0,1,5,31.275,S,Third,man,True,no,False,0.7462726466870603,-0.016542951535818605
0,3,female,14.0,0,0,7.8542,S,Third,child,False,no,True,-1.1801195785508258,-0.4880753554061005
1,2,female,55.0,0,0,16.0,S,Second,woman,False,yes,True,1.9791636708393074,-0.32407546405112786
0,3,male,2.0,4,1,29.125,Q,Third,child,False,no,False,-2.104787846665011,-0.05982903349378355
1,2,male,28.0,0,0,13.0,S,Second,man,True,yes,True,-0.10133993241760961,-0.38447464817852084
0,3,female,31.0,1,0,18.0,S,Third,woman,False,no,False,0.12982713461093673,-0.28380934129953256
1,3,female,28.0,0,0,7.225,C,Third,woman,False,yes,True,-0.10133993241760961,-0.5007430776237524
0,2,male,35.0,0,0,26.0,S,Second,man,True,no,True,0.4380498906489985,-0.12274485029315124
1,2,male,34.0,0,0,13.0,S,Second,man,True,yes,True,0.36099420163948304,-0.38447464817852084
1,3,female,15.0,0,0,8.0292,Q,Third,child,False,yes,True,-1.1030638895413103,-0.48455206966533587
1,1,male,28.0,0,0,35.5,S,First,man,True,yes,True,-0.10133993241760961,0.06851923277692655
0,3,female,8.0,3,1,21.075,S,Third,child,False,no,False,-1.6424537126079184,-0.22190017756895475
1,3,female,38.0,1,5,31.3875,S,Third,woman,False,yes,False,0.6692169576775449,-0.014277982131041355
0,3,male,28.0,0,0,7.225,C,Third,man,True,no,True,-0.10133993241760961,-0.5007430776237524
0,1,male,19.0,3,2,263.0,S,First,man,True,no,False,-0.7948411335032486,4.648790695770894
1,3,female,28.0,0,0,7.8792,Q,Third,woman,False,yes,True,-0.10133993241760961,-0.4875720288717055
0,3,male,28.0,0,0,7.8958,S,Third,man,True,no,True,-0.10133993241760961,-0.48723782005286725
0,1,male,40.0,0,0,27.7208,C,First,man,True,no,True,0.8233283356965757,-0.08809987827767862
1,1,female,28.0,1,0,146.5208,C,First,woman,False,yes,False,-0.10133993241760961,2.3037078131670836
1,3,female,28.0,0,0,7.75,Q,Third,woman,False,yes,True,-0.10133993241760961,-0.49017322040145855
0,2,male,66.0,0,0,10.5,S,Second,man,True,no,True,2.8267762499439777,-0.434807301618015
0,1,male,28.0,1,0,82.1708,C,First,man,True,no,False,-0.10133993241760961,1.008145313634504
0,1,male,42.0,1,0,52.0,S,First,man,True,no,False,0.9774397137156066,0.40071474547758795
